Style|SKU|prediction|count
JNE3639|JNE3639-TP-XXL|8|2
SET262|SET262-KR-NP-L|8|2
SET098|SET098-KR-PP-S|8|2
SET262|SET262-KR-NP-S|8|2
SET217|SET217-KR-PP-XXL|8|2
J0283|J0283-SET-L|8|2
SET217|SET217-KR-PP-XXXL|8|2
SET345|SET345-KR-NP-S|8|2
JNE3256|JNE3256-KR-L|8|2
JNE3518|JNE3518-KR-XL|8|2
J0126|J0126-SKD-XS|8|2
SET345|SET345-KR-NP-M|8|2
SET345|SET345-KR-NP-XL|8|2
JNE3256|JNE3256-KR-XXXL|8|2
JNE3578|JNE3578-KR-M|8|2
J0398|J0398-DR-M|8|2
JNE3720|JNE3720-KR-M|8|2
JNE3518|JNE3518-KR-S|8|2
JNE3720|JNE3720-KR-L|8|2
SET345|SET345-KR-NP-XXXL|8|2
SET303|SET303-KR-NP-L|8|2
JNE3518|JNE3518-KR-XXXL|8|2
J0397|J0397-DR-M|8|2
JNE3030|JNE3030-KR-M|8|2
JNE3720|JNE3720-KR-XXL|8|2
JNE3030|JNE3030-KR-XXL|8|2
JNE3256|JNE3256-KR-XL|8|2
JNE3720|JNE3720-KR-XXXL|8|2
JNE3518|JNE3518-KR-M|8|2
JNE3030|JNE3030-KR-S|8|2
SET345|SET345-KR-NP-XXL|8|2
JNE3578|JNE3578-KR-S|8|2
JNE3578|JNE3578-KR-XXL|8|2
JNE3030|JNE3030-KR-XXXL|8|2
JNE3030|JNE3030-KR-L|8|2
JNE3578|JNE3578-KR-XL|8|2
J0006|J0006-SET-M|8|2
JNE3256|JNE3256-KR-XXL|8|2
JNE3518|JNE3518-KR-XXL|8|2
J0395|J0395-DR-M|8|2
SET345|SET345-KR-NP-L|8|2
JNE3030|JNE3030-KR-XL|8|2
JNE3518|JNE3518-KR-L|8|2
JNE3720|JNE3720-KR-S|8|2
JNE3578|JNE3578-KR-L|8|2
J0126|J0126-SKD-S|8|2
JNE3256|JNE3256-KR-M|8|2
JNE3506|JNE3506-KR-L|8|2
JNE3720|JNE3720-KR-XL|8|2
J0126|J0126-SKD-L|8|2
JNE3256|JNE3256-KR-S|8|2
JNE3843|CMB5-JNE3843|8|3
JNE3846|CMB5-JNE3846|8|3
CMB5|CMB5-JNE3846|8|3
CMB5|CMB5-JNE3843|8|3
SET188|SET188-KR-NP-S|8|4
SET098|SET098-KR-PP-XS|8|4
BTM002|BTM002-L|8|4
SET055|SET055-KR-NP-XL|8|4
JNE3640|JNE3640-TP-M|8|4
BTM047|BTM047-PP-XL|8|4
JNE3667|JNE3667-TP-XL|8|4
SET193|SET193-KR-NP-S|8|4
MEN5004|MEN5004-KR-S|8|4
SET233|SET233-KR-PP-L|8|4
BTM029|BTM029-NP-XL|8|4
